index,number_of_siblings,direct_admission,CCA,learning_style,student_id,gender,tuition,final_test,n_male,n_female,age,hours_per_week,attendance_rate,sleep_time,wake_time,mode_of_transport,bag_color
0,0,Yes,Sports,Visual,ACN2BE,Female,No,69.0,14.0,2.0,16.0,10.0,91.0,22:00,6:00,private transport,yellow
1,2,No,Sports,Auditory,FGXIIZ,Female,No,47.0,4.0,19.0,16.0,7.0,94.0,22:30,6:30,private transport,green
2,0,Yes,None,Visual,B9AI9F,Male,No,85.0,14.0,2.0,15.0,8.0,92.0,22:30,6:30,private transport,white
3,1,No,Clubs,Auditory,FEVM1T,Female,Yes,64.0,2.0,20.0,15.0,18.0,,21:00,5:00,public transport,yellow
4,0,No,Sports,Auditory,AXZN2E,Male,No,66.0,24.0,3.0,16.0,7.0,95.0,21:30,5:30,public transport,yellow
5,0,No,Arts,Visual,BA6R14,Female,No,57.0,9.0,12.0,15.0,11.0,96.0,22:30,6:30,private transport,red
6,2,Yes,None,Visual,D5WGTI,Male,No,69.0,12.0,3.0,16.0,15.0,93.0,21:30,5:30,public transport,green
7,0,No,Sports,Visual,HTP8CW,Male,No,76.0,20.0,2.0,15.0,3.0,97.0,21:00,5:00,public transport,green
8,0,No,Arts,Auditory,U3YRTC,Male,No,57.0,20.0,7.0,15.0,15.0,98.0,22:00,6:00,private transport,red
9,2,No,Arts,Auditory,3MOMA6,Male,Yes,60.0,13.0,9.0,16.0,16.0,,22:30,6:30,private transport,green
10,2,Yes,ARTS,Visual,5KDLKU,Female,No,72.0,20.0,0.0,16.0,10.0,92.0,21:30,5:30,public transport,white
11,2,No,Sports,Auditory,PUMBWU,Female,No,52.0,15.0,7.0,16.0,11.0,91.0,21:00,5:00,public transport,red
12,0,No,Sports,Visual,T4U89N,Male,Yes,85.0,14.0,4.0,16.0,8.0,95.0,23:00,7:00,walk,green
13,2,No,Sports,Visual,WPWT99,Male,Yes,83.0,17.0,0.0,16.0,6.0,90.0,22:30,6:30,private transport,red
14,0,Yes,Arts,Auditory,G0JBVS,Female,Yes,75.0,14.0,2.0,15.0,15.0,98.0,22:30,6:30,private transport,white
15,0,No,Clubs,Auditory,VRSYQL,Male,No,63.0,17.0,4.0,15.0,9.0,100.0,22:30,6:30,private transport,blue
16,2,No,Clubs,Auditory,W087TC,Female,No,42.0,5.0,19.0,15.0,13.0,96.0,21:30,5:30,public transport,green
17,1,No,None,Auditory,FALLVI,Female,Yes,70.0,26.0,2.0,15.0,10.0,100.0,22:30,6:30,private transport,black
18,1,No,Clubs,Auditory,H014YN,Male,Yes,56.0,11.0,13.0,15.0,5.0,93.0,23:00,7:00,walk,yellow
19,1,No,Arts,Visual,ZQ3KFP,Male,Yes,79.0,25.0,0.0,15.0,8.0,96.0,22:00,6:00,private transport,red
20,1,No,Arts,Visual,QTPHGL,Female,Yes,59.0,1.0,27.0,15.0,9.0,92.0,23:30,6:30,private transport,red
21,0,No,None,Visual,HJ6Y5P,Male,Yes,86.0,17.0,6.0,16.0,8.0,91.0,23:30,6:30,private transport,red
22,0,Yes,Clubs,Visual,U9YNGY,Female,No,69.0,17.0,2.0,15.0,12.0,95.0,23:00,7:00,walk,yellow
23,0,No,Clubs,Auditory,586QHN,Male,Y,95.0,12.0,13.0,15.0,9.0,97.0,22:00,6:00,private transport,white
24,0,No,Arts,Visual,PQ059G,Male,No,77.0,23.0,4.0,15.0,6.0,93.0,21:00,5:00,public transport,red
25,1,No,Clubs,Auditory,MQQL0R,Female,No,54.0,20.0,5.0,15.0,18.0,95.0,23:00,7:00,walk,yellow
26,2,Yes,Arts,Visual,7QPRBM,Female,No,74.0,6.0,9.0,15.0,11.0,96.0,21:30,5:30,public transport,blue
27,2,No,Clubs,Auditory,GSTYQJ,Female,No,39.0,15.0,9.0,16.0,12.0,81.0,22:00,5:00,public transport,white
28,1,No,Arts,Visual,OF3DU8,Male,Yes,70.0,10.0,14.0,16.0,17.0,95.0,21:00,5:00,public transport,yellow
29,1,Yes,None,Auditory,ZGU81D,Male,Yes,88.0,17.0,0.0,15.0,6.0,94.0,21:00,5:00,public transport,black
30,2,No,Sports,Visual,7882P8,Male,Yes,,20.0,2.0,6.0,14.0,91.0,21:00,5:00,public transport,green
31,2,No,None,Visual,JK9O0T,Female,Yes,69.0,3.0,16.0,15.0,14.0,92.0,21:30,5:30,public transport,black
32,1,No,Clubs,Visual,J5LN4C,Female,No,78.0,18.0,7.0,16.0,8.0,98.0,22:30,6:30,private transport,green
33,1,No,Arts,Visual,6OAS7F,Male,Yes,60.0,16.0,12.0,16.0,9.0,91.0,21:30,5:30,public transport,yellow
34,0,Yes,Sports,Visual,9KCAKQ,Male,No,78.0,11.0,9.0,15.0,5.0,97.0,21:30,5:30,public transport,white
